astr_R11,astr_R12,astr_R13,astr_01,astr_R21,astr_R22,astr_R23,astr_02,astr_R31,astr_R32,astr_R33,astr_03,astr_TX,astr_TY,astr_TZ,astr_1
0.702295757,-0.414009379,0.579117349,0,0.65057576,0.042984455,-0.758223923,0,0.289018772,0.909257153,0.299532267,0,-11.72720834,-3.21892284,2.845531583,1
0.697794297,-0.409403322,0.587768695,0,0.657945041,0.041935491,-0.751897425,0,0.283180935,0.911389233,0.298627232,0,-11.68811271,-3.253388769,2.787296607,1
0.693133284,-0.404806665,0.59640407,0,0.665325713,0.040964822,-0.745428453,0,0.277322819,0.913484235,0.297722364,0,-11.64816227,-3.287826472,2.728563303,1
0.688313118,-0.400225788,0.605016008,0,0.672712264,0.040077293,-0.738817988,0,0.271446608,0.915539802,0.296822523,0,-11.60735438,-3.3222069,2.669330976,1
0.68333451,-0.395667392,0.613596986,0,0.680099124,0.039277824,-0.732067233,0,0.265554379,0.917553577,0.295932939,0,-11.56568672,-3.356499843,2.609597085,1
0.678198502,-0.391138447,0.622139459,0,0.687480669,0.038571379,-0.725177618,0,0.259648071,0.919523226,0.295059173,0,-11.52315718,-3.39067419,2.549357476,1
0.67290644,-0.386646199,0.630635902,0,0.694851267,0.037962956,-0.718150772,0,0.253729463,0.921446434,0.294207119,0,-11.47976374,-3.424697862,2.488605978,1
0.667459973,-0.382198127,0.63907885,0,0.702205294,0.037457561,-0.710988506,0,0.24780014,0.923320921,0.293382971,0,-11.43550426,-3.458537994,2.427334483,1
0.661861061,-0.377801937,0.647460912,0,0.709537146,0.037060199,-0.703692816,0,0.241861478,0.925144442,0.292593211,0,-11.3903764,-3.492160973,2.36553296,1
0.656111946,-0.373465516,0.655774826,0,0.716841272,0.036775842,-0.696265846,0,0.235914612,0.926914799,0.291844565,0,-11.34437743,-3.525532581,2.303189403,1
0.660108402,-0.366488799,0.655700281,0,0.712490359,0.028978756,-0.701083248,0,0.237937779,0.929971071,0.280248856,0,-11.36162849,-3.551459457,2.413828824,1
0.664127706,-0.359647248,0.655429819,0,0.708087698,0.021287419,-0.705803555,0,0.239887897,0.932845487,0.268799356,0,-11.37818958,-3.575721647,2.523807564,1
0.668167563,-0.352948875,0.654965037,0,0.703633783,0.013707602,-0.710430574,0,0.241767672,0.935542192,0.257505727,0,-11.39407388,-3.59833861,2.633055735,1
0.672225777,-0.346401241,0.654307791,0,0.699128966,0.006244701,-0.714968316,0,0.243579955,0.938065661,0.246376991,0,-11.40929557,-3.619333056,2.741508204,1
0.676300245,-0.340011402,0.653460194,0,0.694573456,-0.001096313,-0.719420956,0,0.245327725,0.940420674,0.235421458,0,-11.42386976,-3.638730783,2.849105032,1
0.680388997,-0.333785897,0.652424546,0,0.689967299,-0.008310859,-0.723792826,0,0.247014046,0.942612277,0.224646737,0,-11.4378122,-3.656560539,2.955791718,1
0.68449016,-0.327730667,0.651203371,0,0.685310412,-0.015394811,-0.728088346,0,0.248642032,0.944645759,0.214059641,0,-11.45113896,-3.672853992,3.061519444,1
0.688602016,-0.32185114,0.649799282,0,0.680602507,-0.022344466,-0.732312059,0,0.250214889,0.946526581,0.203666248,0,-11.46386677,-3.687644848,3.166245439,1
0.692723015,-0.316152157,0.648214963,0,0.675843093,-0.029156548,-0.736468607,0,0.25173585,0.948260359,0.19347184,0,-11.4760125,-3.70096907,3.269933368,1
0.678553319,-0.343895938,0.649077019,0,0.685264016,-0.021861795,-0.727966544,0,0.264534726,0.93875324,0.220825119,0,-11.55471854,-3.526303988,3.005838415,1
0.672367799,-0.346363575,0.654181792,0,0.692761596,-0.016901146,-0.7209686,0,0.260773684,0.937948093,0.228583596,0,-11.53618353,-3.527430586,2.88164784,1
0.666176125,-0.348855629,0.659173058,0,0.70014753,-0.011927948,-0.713898565,0,0.256910114,0.937100568,0.236304293,0,-11.51633991,-3.528154576,2.758004042,1
